windc_label,state,year,units,value
col,MA,2005,million metric tons of carbon dioxide,11.40781980556356
col,MI,2005,million metric tons of carbon dioxide,76.24813006239897
col,MN,2005,million metric tons of carbon dioxide,36.22297157855949
col,MS,2005,million metric tons of carbon dioxide,16.85244879441237
col,MO,2005,million metric tons of carbon dioxide,79.8755846217153
col,MT,2005,million metric tons of carbon dioxide,19.07277457593741
col,NE,2005,million metric tons of carbon dioxide,21.85558335310568
col,NV,2005,million metric tons of carbon dioxide,18.90761158756202
col,NH,2005,million metric tons of carbon dioxide,4.223257141741276
col,NJ,2005,million metric tons of carbon dioxide,11.98332857700851
col,NM,2005,million metric tons of carbon dioxide,30.39523152886976
col,NY,2005,million metric tons of carbon dioxide,24.48883507159105
col,NC,2005,million metric tons of carbon dioxide,77.5940702539378
col,ND,2005,million metric tons of carbon dioxide,41.1262595533651
col,OH,2005,million metric tons of carbon dioxide,141.3244353027194
col,OK,2005,million metric tons of carbon dioxide,37.97909515457508
col,OR,2005,million metric tons of carbon dioxide,3.406034173940213
col,PA,2005,million metric tons of carbon dioxide,141.6438371234507
col,RI,2005,million metric tons of carbon dioxide,0.007255412617388195
col,SC,2005,million metric tons of carbon dioxide,41.17774910401816
col,SD,2005,million metric tons of carbon dioxide,3.528274473729545
col,TN,2005,million metric tons of carbon dioxide,62.80188741817885
col,TX,2005,million metric tons of carbon dioxide,155.5740981334502
col,UT,2005,million metric tons of carbon dioxide,38.74163437298593
col,VT,2005,million metric tons of carbon dioxide,0.002386648887298748
